Drug ID,Drug Name,Usage,Warnings,Side Effects,Generic Name,Drug Class
1050,Xelstrym,Xelstrym (dextroamphetamine) is a central nervous system (CNS) stimulant prescription medicine. Xelstrym skin patches are used to treat attention deficit hyperactivity disorder (ADHD) in adults and children at least 6 years old.,"You should not use Xelstrym skin patches if you haveglaucoma, overactive thyroid, severeagitation, moderate to severehigh blood pressure, heart disease orcoronary artery disease, or a history of drug or alcohol addiction. Dextroamphetamine may be habit-forming.Misuse can cause addiction, serious heart problems, or death.","signs of heart or blood circulation problems- chest pain, trouble breathing, numbness, cold feeling, or pale appearance of your fingers or toes; signs of mania or psychosis- seeing or hearing things that are not real, aggression, paranoia, decreased need for sleep, risk-taking behavior, being agitated or talkative; a seizure, muscle twitches (tics), changes in your vision, blurry vision; or; mild skin irritation where the patch is worn.",dextroamphetamine,CNS stimulants
1051,Xembify,"Xembify is a ready-to-use solution containing immunoglobulin G (IgG) antibodies that may be given to protect patients aged 2 years and older with primary humoral immunodeficiencies (PI) against infection. Xembify (immune globulin subcutaneous, human-klhw) is a sterilized solution made from human plasma that is given as an infusion under the skin (subcutaneous infusion) at regular intervals from daily up to every 2 weeks (biweekly). Xembify supplies the body with a broad spectrum of IgG antibodies against bacterial, viral, parasitic, and mycoplasmal agents and their toxins. It also contains a spectrum of antibodies capable of interacting with and altering the activity of immune system cells.",,"redness, pain, swelling, bruising, itching, firmness, or nodules at the injection site; cough; diarrhea.",immune globulin subcutaneous (human-klhw) 20%,Immune globulins
1052,Xenazine,"Xenazine (tetrabenazine) is an FDA-approved medicine used to treat involuntary movements (chorea) caused by Huntington's disease, which is a rare, inherited disease that causes nerve cells in the brain to breakdown and die. Xenazine helpscontrol involuntary body movementof Huntington’s disease, but does not help the psychiatric and thinking (cognitive) symptoms, and it does not cure the disease. Xenazine is thought to work by changing the level of natural substances in the brain that control muscle movement.","You may havedepressionor thoughts about suicide while taking this medicine. Stayalertto changes in your mood or symptoms. Report any new or worsening symptoms to your doctor. You should not use this medicine if you have severe or untreated depression, suicidal thoughts, liver disease, or if you have takenreserpinein the past 20 days.","tremors, shaking, restless movement, problems with balance; uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); trouble swallowing; fast or pounding heartbeats; a light-headed feeling, like you might pass out; or; severe nervous system reaction--very stiff (rigid) muscles, highfever, sweating, confusion, fast or uneven heartbeats.",tetrabenazine,VMAT2 inhibitors
1053,Xenical,"Xenical blocks some of the fat that you eat, keeping it from being absorbed by your body. Xenical is used to aid inweight loss, or to help reduce the risk of regaining weight already lost. This medicine must be used together with a reduced-calorie diet and is to used only by adults.","Do not take Xenical if you are pregnant.Weight loss is not recommended during pregnancy. You should not use this medicine if you have a digestive disorder (problems absorbing food). You should not useXenicalif you have gallbladder problems, or if you are pregnant. Do not usealliif you have had an organ transplant, if you usecyclosporine, or if you are not overweight.","severe stomach pain; severe pain in your lower back; blood in your urine, painful or difficult urination; kidney problems- little or no urinating; swelling in your feet or ankles; feeling tired or short of breath; or; liver problems- nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).",orlistat,Peripherally acting antiobesity agents
1054,Xeomin,"Xeomin, also called botulinum toxin type A, is made from the bacteria that causesbotulism. Botulinum toxin blocks nerve activity in the muscles, causing a temporary reduction in muscle activity. Xeomin injection is usedin adultsto treat:",,"pain where the medicine was injected; dry mouth, tooth problems; muscle weakness; vision problems; trouble swallowing; dry eyes, drooping eyelids; headache, neck pain, body aches; a seizure; increased blood pressure; diarrhea; or; cold symptomssuch as stuffy nose, sneezing,sore throat, cough, and chest congestion.",incobotulinumtoxinA,Skeletal muscle relaxants
1055,Xermelo,"Xermelo (telotristat ethyl) tablets are a prescription medicine used to treatcarcinoid syndrome diarrheain adults.  Xermelo targets the underlying cause of carcinoid syndrome diarrhea, which is high serotonin levels. Xermelo works by blocking tryptophan hydroxylase, a key enzyme that helps make serotonin. By blocking tryptophan hydroxylase, serotonin levels decrease and diarrhea symptoms improve.Xermelo mechanism of action is as a tryptophan hydroxylase inhibitor,it is not chemotherapy.",Use only as directed. Tell your doctor if you use other medicines or have other medical conditions orallergies. Discontinue this medicine if severe constipation or severe persistent or worsening abdominal pain develops.,"Nausea13%; Headache11%; Depression 9%; Swelling in your hands or feet 7%; Decreased appetite 7%,; Gas7%; Fever7%; Abnormal liver function tests 9%.",telotristat ethyl,Miscellaneous GI agents
1056,Xgeva,"Xgeva is used toprevent bone fracturesand other skeletal conditions in people withmultiple myeloma, and in people with solid tumors that have metastasized (spread) to the bone. Xgeva is also used to treatgiant cell tumor of bonethat is unresectable or where surgical resection is likely to result in severe morbidity, in adults and teenagers with a fully matured bone structure.",,"feeling weak or tired; nausea, vomiting, loss of appetite; diarrhea, constipation; headache, back pain; pain or swelling in your arms or legs; laboratory changes (such as low phosphate levels, low calcium levels, and low platelets).",denosumab,Miscellaneous bone resorption inhibitors
1057,Xiaflex,"Xiaflex is made from a mixture of proteins derived from a certain bacteria. Xiaflex is used to treatDupuytren's contracturein adults. This condition causes an abnormal thickening of the tissue in the palm of the hand. This condition may get worse over time and form a ""cord"" in your palm, causing a permanent bend in your finger.","Before you receive Xiaflex, tell your doctor if you have a bleeding or blood clotting disorder, such as hemophilia. Xiaflex can damage a nerve, tendon, or ligament in the hand the medicine is injected into.After the swelling from your injection goes down, call your doctor if you have numbness, tingling, increased pain, trouble bending your finger toward your wrist, or if you have new or worsened movement problems in your treated hand.","fever, chills, increased redness, or swelling; numbness, or tingling in the treated finger; or; trouble bending the injected finger after the swelling decreases.",collagenase clostridium histolyticum,Miscellaneous uncategorized agents
1058,Xifaxan,"Xifaxan is an antibiotic that fights bacterial infection only in the intestines. Rifaximin works differently from other antibiotics because it passes through your stomach and into your intestines without being absorbed into your blood stream. Because rifaximin treats only the intestinal tract, it will not treat infections of other parts of the body.","You should not use take Xifaxan if you are allergic to rifaximin or medications such as rifabutin (Mycobutin), rifampin (Rifater, Rifadin, Rifamate), or rifapentine (Priftin). Before you take Xifaxan, tell your doctor if you have severe liver disease, diarrhea with fever, or diarrhea that is watery or has blood in it.","severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); fever; or; fluid build-up around the stomach- rapid weight gain, stomach pain andbloating, trouble breathing while lying down.",rifaximin,Miscellaneous antibiotics
1059,Xigduo XR,Xigduo XR extended-release tablets contain a combination ofdapagliflozinandmetformin. Dapagliflozin and metformin are oral diabetes medicines that help control blood sugar levels. Dapagliflozin works by helping the kidneys get rid of glucose from your bloodstream. Metformin lowers glucose production in the liver and also causes your intestines to absorb less glucose. Xigduo XR is used together with diet and exercise to improve blood sugar control in adults and children aged 10 years and older withtype 2 diabetes mellitus.,"You should not use Xigduo XR if you have severe kidney disease ordiabetic ketoacidosis(seek emergency medical treatment). If you need to have any type of X-ray or CT scan using a dye that is injected into your veins, you may need to temporarily stop taking Xigduo XR.","female genital infections; headache; nausea, vomiting, diarrhea or; runny or stuffy nose, or asore throat.",dapagliflozin and metformin,Antidiabetic combinations
1060,Xiidra Eye Drops,"Xiidra (lifitegrast 5%) is an eye drop solution that is used twice daily in each eye to treat the signs and symptoms of dry eye disease (DED) in adults over the age of 17 years. Xiidra works by preventing a certain protein called lymphocyte function-associated antigen-1 (LFA-1) on the surface of leukocytes (a type of blood cell), from binding to a type of adhesion molecule called ICAM-1 which may be overexpressed in corneal and conjunctival tissues in people with DED. The interaction between LFA-1 and ICAM-1 is associated with T-cell activation and migration and the secretion of inflammatory cytokines. By blocking this interaction, Xiidra may prevent the secretion of inflammatory cytokines which improves the symptoms of DED, although the exact way it works in DED is not known.","There are no contraindications to the use of Xiidra eye drops. Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.",vision problems; or; severe eye redness or irritation.,lifitegrast ophthalmic solution 5%,Ophthalmic anti-inflammatory agents
1061,Xofluza,Xofluza is used to treat flu symptoms caused by theinfluenza virusin people who have had symptoms for no more than 48 hours. Baloxavir marboxil will not treat thecommon cold. Xofluza is also used to prevent flu symptoms in people who have been in contact with someone who has the flu.,"Xofluza may contain inactive ingredients, which can cause allergic reactions or other problems. Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions,allergies, and all medicines you use.","cough, chest congestion; nausea,diarrhea; headache; or; runny or stuffy nose.",baloxavir marboxil,Miscellaneous antivirals
1062,Xolair,"Xolair (omalizumab) injection is used to treatasthma,nasal polyps,chronic hives, and to reduce the risk of severe food allergy reactions (anaphylaxis) in certain patients.Xolair works by decreasing the release of natural inflammatory substances that cause allergy symptoms. This makes it easier to breathe, improves itching, and reduces the risk of a severe allergic reaction to food. Xolair is administered as an injection under the skin every 2 or 4 weeksusing a Xolair autoinjector or a syringe.","Some people using this injection have had a severe, life-threatening allergic reaction either right after the injection or hours later. Allergic reactions may occur even after using this injection regularly for a year or longer. Get emergency medical help if you have any signs of an allergic reaction to Xolair: hives, rash; anxiety or fear; flushing (warmth, redness, or tingly feeling); feeling like you might pass out; chest tightness, wheezing, feeling short of breath, difficult breathing; fast or weak heartbeats; swelling of your face, lips, tongue, or throat.","Pain7%; Tiredness, fatigue 3%; Joint pain8%; Bone fracture 2%; Leg pain 4%; Arm pain 2%; Dizziness3%; Itchy skin 2%; Dermatitis 2%; Earache2%.",omalizumab,Selective immunosuppressants
1063,Xolremdi,Xolremdi is used to treat WHIM syndrome in adults and children 12 years of age and older to increase the numbers of certain circulating blood cells (specifically mature neutrophils and lymphocytes). It is an oral capsule that is taken 1 time a day on an empty stomach. Xolremdi gained FDA approval on 26 April 2024. There is no generic.,,"Low platelet counts (thrombocytopenia); A rash, such as pityriasis (a rash that often begins as an oval spot on the face, chest, abdomen, or back); Nasal congestion, sneezing, and stuffiness; Nosebleeds; Vomiting; Dizziness.",mavorixafor,Other immunostimulants
1064,Xopenex,Xopenex is a short-acting bronchodilator that relaxes muscles in the airways and increases air flow to the lungs. Xopenex inhalation is used to treat or preventbronchospasmin people with reversible obstructive airway disease.,"You should not use Xopenex if you are allergic to levalbuterol or albuterol (Accuneb, ProAir, Proventil, Ventolin). Before using Xopenex, tell your doctor if you have heart disease, high blood pressure, congestive heart failure, a heart rhythm disorder, a seizure disorder, diabetes, or overactive thyroid.","wheezing, choking, or other breathing problems after using this medicine; pounding heartbeats or fluttering in your chest; worsening asthma symptoms; or; low potassium--leg cramps, constipation, irregular heartbeats, fluttering in your chest, extreme thirst, increased urination, numbness or tingling, muscle weakness or limp feeling.",levalbuterol inhalation,Adrenergic bronchodilators
1065,Xopenex HFA,Levalbuterolis a short-acting bronchodilator that relaxes muscles in the airways and increases air flow to the lungs. Xopenex HFA is used to treat or prevent asthma attacks in adults and children who are at least 4 years old.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use. Seek medical attention if you think your asthma medications are not working as well.","wheezing, choking, or other breathing problems after using  Xopenex HFA; pounding heartbeats or fluttering in your chest; worsening asthma symptoms; or; low potassium--leg cramps,constipation, irregular heartbeats, fluttering in your chest, extreme thirst, increased urination, numbness or tingling, muscle weakness or limp feeling.",levalbuterol inhalation,Adrenergic bronchodilators
1066,Xphozah,"Xphozah is a phosphate absorption inhibitor that is used to lower serum phosphorus levels for patients withchronic kidney disease(CKD) on dialysis who have triedphosphate bindersbut they have not worked well enough, or they are unable to take them.  Xphozah is a twice a daily tablet that works by blocking phosphate absorption in the gut to help return phosphate to normal serum levels. Xphozah is the first and only phosphate absorption inhibitor that has been approved by the Food and Drug Administration (FDA). Xphozah (tenapanor) became an FDA-approved medication on Oct. 17, 2023, after positive results from three Phase 3 clinical trials (PHREEDOM, BLOCK, and AMPLIFY) showing Xphozah significantly reduced high serum phosphorus in patients receiving maintenance hemodialysis. Xphozah is FDA-approved to reduce serum phosphorus in adults with chronic kidney disease (CKD) on dialysis as add-on therapy in patients who have an inadequate response to phosphate binders or are intolerant of any dose of phosphate binder therapy.",Diarrhea.Patients using Xphozah may experience severe diarrhea. Treatment with this medicine should be discontinued in patients who develop severe diarrhea. Do NOT not to use stool softeners or laxatives with Xphozah. You should not take Xphozah if:,you have known or suspected mechanical gastrointestinal obstruction.,tenapanor,NHE3 inhibitors
1067,Xtampza ER,Xtampza ER is: You should not take Xtampza ER if you have:,"You should not take Xtampza ER if you have: Before taking Xtampza ER, tell your healthcare provider if you have a history of:","constipation, nausea, sleepiness, vomiting, tiredness, headache, dizziness, abdominal pain. Call your healthcare provider if you have any of these symptoms and they are severe.",oxycodone,Opioids (narcotic analgesics)
1068,Xtandi,"Xtandi is anandrogen receptor inhibitorused to treat certainprostate cancers. Xtandi works by preventing the actions of androgens (male hormones), to help control cancer growth and decrease tumor size. Xtandi is used when prostate cancer no longer responds to hormone therapy or surgical treatment. Xtandi is also used when prostate cancer has spread to other parts of the body, and it responds to hormone therapy or surgical treatment to lower testosterone. Xtandi is also used for patients who have cancer that responds to hormone therapy or surgical treatment to lower testosterone, and their cancer has not spread to other parts of the body, but they are at high risk of cancer spreading to other parts of the body.","Although not for use by women,Xtandi can cause birth defects if the mother or the father is taking this medicine.Use a condom and one other form of birth control to prevent pregnancy during your treatment and for at least 3 months after your treatment ends. Xtandi may cause side effects on your spinal cord. Stop taking this medicine and call your doctor at once if you have severe lower back pain, trouble walking or standing up, pain or weakness in your lower body, severe and worsening numbness or tingling, or sudden loss of bladder or bowel control.","dizziness, spinning sensation; a seizure (black-out or convulsions); confusion, thinking problems, severe headache, vision problems; weakness, loss of consciousness; red or pink urine; heart problems- chest pain, shortness of breath (even with mild exertion); increased blood pressure- severe headache, blurred vision, pounding in your neck or ears, anxiety, nosebleed; or; signs of a lung infection- fever, cough with yellow or green mucus, stabbing chest pain, wheezing, feeling short of breath.",enzalutamide,"Antiandrogens, Hormones / antineoplastics"
1069,Xulane,"Xulane is a birth control patch you wear on your skin to stop you getting pregnant. Xulane contains two hormones - an estrogen and progestin - which are absorbed through the skin. It prevents pregnancy by stopping your ovaries from ovulating and releasing eggs. Xulane is a generic version of a patch called Ortho Evra, which has been discontinued.","Do not use Xulane if you smoke cigarettes and are over 35 years old. Smoking increases your risk of serious cardiovascular side effects from hormonal birth control methods, including death from heart attack, blood clots or stroke. This risk increases with age and the number of cigarettes you smoke. Do not use Xulane if you have an increased risk for blood clots.","blood clots. Like pregnancy, hormonal birth control methods increase the risk of serious blood clots (see following graph), especially in women who have other risk factors such as smoking, high blood pressure, high levels of fat in the blood, diabetes, obesity, a family history of blood clots, or age greater than 35. This increased risk is highest when you first start using hormonal birth control and when you restart the same or different hormonal birth control after not using it for a month or more. Some studies have reported that women who use norelgestromin and ethinyl estradiol transdermal system have a higher risk of getting a blood clot. Talk with your healthcare provider about your risk of getting a blood clot before using Xulane or deciding which type of birth control is right for you.It is possible to die or be permanently disabled from a problem caused by a blood clot, such as a heart attack or a stroke. Some examples of serious blood clots are blood clots in the:legs (deep vein thrombosis)lungs (pulmonary embolus)eyes (loss of eyesight)heart (heart attack)brain (stroke); legs (deep vein thrombosis); lungs (pulmonary embolus); eyes (loss of eyesight); heart (heart attack); brain (stroke)",ethinyl estradiol and norelgestromin,Contraceptives
1070,Xultophy,"Xultophy is an injection pen containing a combination ofinsulin degludecandliraglutide. Insulin degludec is a long-acting insulin that starts to work several hours after injection and keeps working evenly for 24 hours. Liraglutide is similar to a hormone that occurs naturally in the body and helps control blood sugar, insulin levels, and digestion.","You should not use Xultophy if you have multiple endocrine neoplasia type 2 (tumors in your glands), a personal or family history of medullarythyroid cancer, insulin-dependent diabetes, or if you are having an episode oflow blood sugarordiabetic ketoacidosis. In animal studies, liraglutide caused thyroid tumors or thyroid cancer. It is not known whether these effects would occur in people.","severenausea and vomiting; shortness of breath (even with mild exertion); swelling in your feet or ankles, rapid weight gain; signs of pancreatitis- severe pain in your upper stomach spreading to your back,nauseaand vomiting,fast heart rate; kidney problems- little or no urination, painful or difficult urination; or; low potassium level- leg cramps,constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling.",insulin degludec and liraglutide,Antidiabetic combinations
1071,Xylocaine-MPF,"Lidocaine is a local anesthetic (numbing medication) that is used to numb an area of your body to help reduce pain or discomfort caused by invasivemedical proceduressuch as surgery, needle punctures, or insertion of a catheter or breathing tube. Xylocaine-MPF is sometimes used to treat irregular heart rhythms that may signal a possibleheart attack.","You should not receive  Xylocaine-MPF if you have severeheart block, or a heart rhythm disorder called Stokes-Adams syndrome or Wolff-Parkinson-White Syndrome. You should not receive this medicine if you are allergic to Xylocaine-MPF or any other type of numbing medicine, or if you have:","twitching, tremors, seizure (convulsions); a light-headed feeling, like you might pass out; slow heart rate, weak pulse, weak or shallow breathing; sudden feeling of heat, cold, or numbness; muscle stiffness and pain; weak or shallow breathing; blue appearance of the skin; or; severe anxiety, unusual fear or uneasy feeling.",lidocaine injection,"Group I antiarrhythmics, Local injectable anesthetics"
1072,Xyntha,Xyntha contains recombinant antihemophilic factor. Antihemophilic factor is a naturally occurring protein in the blood that helps blood to clot. A lack of antihemophilic factor VIII is the cause of hemophilia A. Xyntha works by temporarily raising levels of factor VIII in the blood to aid in clotting.,"You should not use Xyntha if you have ever had a severe allergic reaction to antihemophilic factor in the past. Your body may develop antibodies to antihemophilic factor, making it less effective. Call your doctor if this medicine seems to be less effective in controlling your bleeding.","chest pain; easy bruising, increased bleeding episodes; or; bleeding from a wound or where the medicine was injected.",antihemophilic factor (recombinant),Miscellaneous coagulation modifiers
1073,Xyosted Injection,Xyosted injection is a single-dose syringe supplied as an autoinjector containingtestosterone. Testosterone is a naturally occurring sex hormone produced in a man's testicles. Xyosted is a prescription medicine used as a hormone replacement therapy in adult men who have low or no testosterone due to certain medical conditions.,"You should not be treated with Xyosted if you haveprostate cancer, male breast cancer, a serious heart condition, severe liver or kidney disease, or an allergy tocastor oilor sesame oil. Xyosted is not for use in treating low testosterone without certain medical conditions or due to getting older.Testosterone should not be used to enhance athletic performance.","chest pain or pressure, pain spreading to your jaw or shoulder; shortness of breath, breathing problems at night (sleep apnea); swelling in your ankles or feet, rapid weight gain; a seizure; unusual changes in mood or behavior; increased or ongoing erection of the penis, ejaculation problems, decreased amounts of semen, decrease in testicle size; painful or difficult urination, increased urination at night, loss of bladder control; high levels of calcium in the blood- stomach pain,constipation, increased thirst or urination, muscle pain or weakness, joint pain, confusion, and feeling tired or restless; or; high potassium level-nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; liver problems- right-sided upper stomach pain,vomiting, loss of appetite, dark urine,jaundice(yellowing of the skin or eyes).; signs of a blood clot deep in the body- swelling, warmth, or redness in an arm or leg; signs of a blood clot in the lung- chest pain, sudden cough, wheezing, rapid breathing, coughing up blood; or; signs of a stroke- sudden numbness or weakness (especially on one side of the body), severeheadache, slurred speech, balance problems.",testosterone injection,Androgens and anabolic steroids
1074,Xyrem,"Xyrem (sodium oxybate) is an oral prescription solution that may be used to treat cataplexy (sudden loss of muscle tone) or excessive daytime sleepiness (EDS) in adults and children aged 7 years and older withnarcolepsy. Xyrem’s mechanism of action for narcolepsy is thought to involve binding to GABABand GHB receptors to enhance deep sleep at night, which helps to reduce EDS. The exact way Xyrem works is unknown (seeHow does Xyrem work for narcolepsy?). Xyrem belongs to the class of medicines known as central nervous system (CNS) depressants.",,nausea; sleepiness; dizziness; vomiting; bedwetting; tremor.,sodium oxybate,"Miscellaneous anxiolytics, sedatives and hypnotics"
1075,Xywav,"Xywav is a medicine used to treatcataplexy(sudden loss of muscle strength) or to reduce excessive daytime sleepiness (EDS) caused bynarcolepsy. Xywav is also used in adults to treatidiopathic hypersomnia (IH), which is an uncommon, chronic sleep disorder that causes daytime sleepiness even after a good night's sleep. Xywav helps to improve the quality and quantity of deep sleep at night, which reduces excessive daytime sleepiness and the number of sleeping periods during the day and improves cataplexy.","Xywav can cause severe drowsiness and can slow or stop your breathing, even at regular doses or if you are also taking stimulant medicines. You should not do anything that requires you to be fully awake or is dangerous, including driving a car, using heavy machinery, or flying an airplane for at least 6 hours after taking this medicine. Those activities should not be done until you know how this medicine affects you or your child. Fatal side effects can occur if you take Xywav with alcohol, other sleep medicines, or other drugs that cause drowsiness or slow your breathing.","sleepwalking, talking, or eating in your sleep; new sleep problems, strange dreams, night terrors; drowsiness,dizziness, tiredness,headache; tremors, anxiety; dry mouth,nausea, vomiting,diarrhea; decreased appetite; sweating or; bedwetting(in children).","calcium oxybate, magnesium oxybate, potassium oxybate, and sodium oxybate","Miscellaneous anxiolytics, sedatives and hypnotics"
1076,Xyzal,Xyzal is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms such as arunny noseor hives. Xyzal is used to treat symptoms of year-round (perennial)allergiesin children who are at least 6 months old.,"Before taking Xyzal, tell your doctor if you have liver disease, kidney disease, or gallbladder problems. It is very important not to give a child more than the prescribed dose of Xyzal. A child's body absorbs twice as much of the same dose size of levocetirizine as an adult's body.","worseningallergyor urticaria symptoms; painful or difficult urination; little or no urination; a light-headed feeling, like you might pass out; fever; or; signs of an ear infection- ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child.",levocetirizine,Antihistamines
1077,Yasmin,"Yasmin is acombination birth control pillcontaining female hormones that prevent ovulation (the release of an egg from an ovary). Yasmin also causes changes in your cervical mucus and uterine lining, making it harder for sperm to reach the uterus and harder for a fertilized egg to attach to the uterus.","Do not use Yasmin if you are pregnant or if you recently had a baby. You should not take Yasmin if you have:an adrenal gland disorder, kidney disease, uncontrolled high blood pressure, heart disease, coronary artery disease, circulation problems (especially with diabetes), undiagnosed vaginal bleeding, liver disease or liver cancer, severe migraine headaches, if you also take certain hepatitis C medication, if you will have major surgery, if you smoke and are over 35, or if you have ever had a heart attack, a stroke, a blood clot, jaundice caused by pregnancy or birth control pills, or cancer of the breast, uterus/cervix, or vagina.","signs of a stroke- sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance; signs of a blood clot- sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood, pain or warmth and swelling in one or both legs; heart attack symptoms- chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; liver problems- loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); increased blood pressure- severe headache, blurred vision, pounding in your neck or ears; swelling in your hands, ankles, or feet; a change in the pattern or severity of migraine headaches; or; symptoms of depression- sleep problems, weakness, tired feeling, mood changes.",drospirenone and ethinyl estradiol,Contraceptives
1078,Yaz,"Yaz tablets contain a combination of progesterone (drospirenone) and estrogen (ethinyl estradiol). Yaz is a combination birth control pill containing female hormones that prevent ovulation (the release of an egg from an ovary). Yaz also causes changes in your cervical mucus and uterine lining, making it harder for sperm to reach the uterus and harder for a fertilized egg to attach to the uterus. Yaz is used ascontraceptionto prevent pregnancy. It is also used to treatmoderate acnein women who are at least 14 years old and have started having menstrual periods, and who wish to use birth control pills.","Do not use Yaz if you are pregnant or if you recently had a baby. Taking Yaz can increase your risk of blood clots, stroke, or heart attack.Many medical conditions can increase your risk of blood clot, stroke, or heart attack while taking Yaz. Tell your doctor about any and all medical problems, hospitalizations, surgeries, and medications before taking Yaz. You are even more at risk if you have high blood pressure, diabetes, high cholesterol, or if you are overweight. Your risk of stroke or blood clot is highest during your first year of taking birth control pills. Your risk is also high when you restart birth control pills after not taking them for 4 weeks or longer. If you are immobile for any reason (after a surgery or during long travel) you may also be at increased risk.","sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance; pain, warmth or swelling in one or both legs; shortness of breath, rapid breathing, and/or sudden coughing; coughing up blood; sudden vision loss or blurred vision; chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; symptoms of liver problems - loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); signs of increased blood pressure - severe headache, blurred vision, pounding in your neck or ears; swelling in your hands, ankles, or feet; a change in the pattern or severity of migraine headaches; or; symptoms of depression- sleep problems, weakness, tired feeling, mood changes.",drospirenone and ethinyl estradiol,Contraceptives
1079,Ycanth,"Ycanth (cantharidin 0.7%) is a topical solution that is applied by a healthcare provider once every 3 weeks to the skin as needed to treat molluscum contagiosum in adults and children 2 years of age and older. Molluscum contagiosum is a viral skin disease characterized by distinctive raised, skin-toned-to-pink-colored lesions called Mollusca that can cause pain, inflammation, itching, and bacterial infection. It is unknown how cantharidin works to treat molluscum contagiosum.","Life-threatening or fatal toxicities can occur if Ycanth is administered orally. Contact with the treatment area must be avoided so that it does not get into the mouth and eyes. Be vigilant with not allowing children to touch the area then put their hands in their mouth. If Ycanth gets in the eyes, flush them with water for at least 15 minutes.",kidney failure; blisters and severe damage to your stomach and intestine (intestinal tract); blood clotting problems; seizures; a certain type of paralysis.,cantharidin 0.7%,Topical keratolytics
1080,Yellow fever vaccine,"Yellow fever vaccine is recommended for people who plan to live in or travel to areas where yellow fever is known to exist, or those who are otherwise at high risk of coming into contact with the virus. This vaccine is used to help prevent yellow fever. The vaccine works by exposing you to a small dose of the virus, which causes the body to develop immunity to the disease. This vaccine will not treat an activeinfectionthat has already developed in the body.","You should not receive a booster vaccine if you had a life threatening allergic reaction after the first shot. You should not receive this vaccine if you have ever had a life-threatening allergic reaction to a yellow fever vaccine, or if you have:","fever,headache, confusion, extreme tiredness; muscle painor weakness; a light-headed feeling, like you might pass out; easy bruising, unusual bleeding; little or no urination; or; vomiting, loss of appetite,jaundice(yellowing of the skin or eyes).",yellow fever vaccine,Viral vaccines
1081,Yervoy,"Yervoy (ipilimumab) is a cancer treatment used to treat lung cancer (NSCLC), melanoma, renal cell carcinoma, liver cancer, colorectal cancer, esophageal cancer, and pleural mesothelioma in certain patients.Opdivoand Yervoy are sometimes used together, or Yervoy can be used alone or combined with other cancer medicines. Yervoy works by stimulating the immune system to help find and kill the cancer cells. Yervoy is an immunotherapy that blocks a protein (antigen) that can stop your immune system from working properly. When Yervoy has blocked the protein (CTLA-4) the immune system can find and kill the cancer cells.","Serious and sometimes fatal reactions may occur during treatment with this medicine or months after your last dose. Call your doctor at once if you have: chest pain, cough, shortness of breath, vision changes, severe muscle pain or weakness,diarrheaand severe stomach pain, blood in your stools, little or no urinating, swelling, bruising or bleeding, dark urine, yellowing of the skin or eyes, confusion, hallucinations, a seizure, skin blistering, or a hormonal disorder (frequent headaches, feeling light-headed, increased thirst or urination, feeling cold, weight gain or loss). Before you receive Yervoy, tell your doctor if you have liver damage, an autoimmune disorder such as lupus or sarcoidosis, Crohn's disease, ulcerative colitis, or if you have received an organ transplant.","severe or ongoing diarrhea, severe stomach pain, bloody or tarry stools; fever, swollen glands, body aches; new or worsening skin rash, itching, or blistering; painful sores in mouth or nose, throat, or genital area; chest pain, irregular heartbeats; severe muscle weakness, ongoing pain in your muscles or joints; numbness or tingling in your hands or feet; vision problems, eye pain or redness; lung problems - new or worsening cough, chest pain, feeling short of breath; kidney problems - little or no urination, swelling in your feet or ankles, blood in your urine; liver problems - right-sided upper stomach pain, tiredness, bruising or bleeding, dark urine, yellowing of your skin or eyes; signs of a hormonal disorder - frequent or unusual headaches, lack of energy,dizziness, fainting, mood or behavior changes, increased thirst or urination, feeling cold, weight gain, orweight loss; or; symptoms of brain swelling - confusion,headache, memory problems, hallucinations, neck stiffness, drowsiness, seizure (convulsions).",ipilimumab,Anti-CTLA-4 monoclonal antibodies
